sentence	aspect	polarity
It's super fast and a great value for the price!	laptop general	positive
It's super fast and a great value for the price!	laptop operation performance	positive
It's super fast and a great value for the price!	laptop price	neutral
I would definitely recommend checking out this laptop if you are in the market for one.	laptop general	positive
A MONTH LATER, we reinstall the OS (Vista).	os quality	negative
A coupla months later, they change my hard drive.	hard disc quality	negative
A month or so ago, the freaking motherboard just died.	motherboard quality	negative
Went silently.	motherboard quality	negative
One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.	laptop operation performance	negative
THE MOTHERBOARD IS DEAD !	motherboard quality	negative
And I'm still paying the bloody financing, for a product which didn't last me at least three years !	laptop quality	negative
I initially purchased my Macbook Pro 13" in April, and I loved it.	laptop general	positive
I was so happy with my new Mac.	laptop general	negative
Then the hard drive failed;	hard disc quality	negative
my information was all lost (my fault, I know, but I never thought I would need to back up my information on a brand new Mac, the paragon of all computers!	laptop miscellaneous	negative
So, after Apple replaced the hard drive I enjoyed another 4 months of my new computer, until it froze this morning--completely.	laptop operation performance	negative
I can't even turn it off.	laptop operation performance	negative
